Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Brasil (Código),Brasil,Variável (Código),Variável,Trimestre (Código),Trimestre,Setores e subsetores (Código),Setores e subsetores
1,Brasil,30,Número-índice,184.19,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),202302,2º trimestre 2023,90707,PIB a preços de mercado
1,Brasil,30,Número-índice,184.43,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),202303,3º trimestre 2023,90707,PIB a preços de mercado
1,Brasil,30,Número-índice,185.14,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),202304,4º trimestre 2023,90707,PIB a preços de mercado
1,Brasil,30,Número-índice,186.40,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),202401,1º trimestre 2024,90707,PIB a preços de mercado
1,Brasil,30,Número-índice,189.52,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),202402,2º trimestre 2024,90707,PIB a preços de mercado
1,Brasil,30,Número-índice,191.23,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),202403,3º trimestre 2024,90707,PIB a preços de mercado
1,Brasil,30,Número-índice,191.41,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),202404,4º trimestre 2024,90707,PIB a preços de mercado
1,Brasil,30,Número-índice,193.84,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),202501,1º trimestre 2025,90707,PIB a preços de mercado
1,Brasil,30,Número-índice,194.50,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),202502,2º trimestre 2025,90707,PIB a preços de mercado
1,Brasil,30,Número-índice,194.69,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),202503,3º trimestre 2025,90707,PIB a preços de mercado
1,Brasil,30,Número-índice,195.19,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),202504,4º trimestre 2025,90707,PIB a preços de mercado
1,Brasil,30,Número-índice,197.34,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),202601,1º trimestre 2026,90707,PIB a preços de mercado
