Ticker;Nome_Empresa;Setor;Subsetor;Tipo_Ativo
N1VO34;N1VO34;Health Technology;;bdr
GGBR3;GERDAU S.A.;Non-Energy Minerals;Siderurgia;stock
TPIS3;TPI - TRIUNFO PARTICIP. E INVEST. S.A.;Transportation;Exploração de Rodovias;stock
MGEL4;MANGELS INDUSTRIAL S.A.;Producer Manufacturing;;stock
SHOW3;T4F ENTRETENIMENTO S.A.;Consumer Services;Produção de Eventos e Shows;stock
C1GP34;C1GP34;Technology Services;;bdr
RPMG3;REFINARIA DE PETROLEOS MANGUINHOS S.A.;Energy Minerals;Exploração. Refino e Distribuição;stock
AERI3;AERIS IND. E COM. DE EQUIP. GERACAO DE ENERGIA S/A;Producer Manufacturing;Máq. e Equip. Industriais;stock
NOKI34;NOKI34;Electronic Technology;;bdr
BEWY39;ISHARES MSCI SOUTH KOREA ETF;Miscellaneous;;bdr
BIBB39;ISHARES BIOTECHNOLOGY ETF;Miscellaneous;;bdr
FIND11;FIND11;Miscellaneous;;fund
BPAC3;BCO BTG PACTUAL S.A.;Finance;Bancos;stock
INEP4;INEPAR S.A. INDUSTRIA E CONSTRUCOES;Producer Manufacturing;;stock
QCOM34;QCOM34;Electronic Technology;;bdr
MSCD34;MSCD34;Finance;;bdr
MATB11;MATB11;Miscellaneous;;fund
JDCO34;JDCO34;Retail Trade;;bdr
AALR3;ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.;Health Services;Serv.Méd.Hospit..Análises e Diagnósticos;stock
ALPA3;ALPARGATAS S.A.;Consumer Non-Durables;Calçados;stock
TASA3;TAURUS ARMAS S.A.;Electronic Technology;Armas e Munições;stock
T1SC34;T1SC34;Retail Trade;;bdr
PFIZ34;PFIZ34;Health Technology;;bdr
BEES3;BANESTES S.A. - BCO EST ESPIRITO SANTO;Finance;Bancos;stock
B1NT34;B1NT34;Health Technology;;bdr
XFIX11;XFIX11;Miscellaneous;;fund
BMEB3;BCO MERCANTIL DO BRASIL S.A.;Finance;Bancos;stock
BKNG34;BKNG34;Consumer Services;;bdr
TELB4;TELEC BRASILEIRAS S.A. TELEBRAS;Communications;;stock
PDTC3;PADTEC HOLDING S.A.;Electronic Technology;Programas e Serviços;stock
U1BE34;U1BE34;Transportation;;bdr
OIBR4;OI S.A.;Communications;;stock
FCXO34;FCXO34;Non-Energy Minerals;;bdr
BSLI4;BRB BCO DE BRASILIA S.A.;Finance;;stock
K1LA34;K1LA34;Electronic Technology;;bdr
Z1TS34;Z1TS34;Health Technology;;bdr
EALT4;ELECTRO ACO ALTONA S.A.;Producer Manufacturing;;stock
M1NS34;M1NS34;Consumer Non-Durables;;bdr
IBOV11;IBOV11;;;fund
O1TI34;O1TI34;Industrial Services;;bdr
FSTU11;FSTU11;Finance;;fund
SSFO34;SSFO34;Technology Services;;bdr
OXYP34;OXYP34;Energy Minerals;;bdr
BRAX11;BRAX11;Miscellaneous;;fund
MCDC34;MCDC34;Consumer Services;;bdr
S1NP34;S1NP34;Technology Services;;bdr
BEEM39;ISHARES MSCI EMERGING MARKETS ETF;Miscellaneous;;bdr
PATI3;PANATLANTICA S.A.;Producer Manufacturing;Artefatos de Ferro e Aço;stock
A1MT34;A1MT34;Producer Manufacturing;;bdr
S1BS34;S1BS34;Non-Energy Minerals;;bdr
EXXO34;EXXO34;Energy Minerals;;bdr
JNJB34;JNJB34;Health Technology;;bdr
D1DG34;D1DG34;Technology Services;;bdr
ADBE34;ADBE34;Technology Services;;bdr
FSRF11;FSRF11;Miscellaneous;;fund
WHRL4;WHIRLPOOL S.A.;Consumer Durables;;stock
M1RN34;M1RN34;Health Technology;;bdr
BRSR3;BCO ESTADO DO RIO GRANDE DO SUL S.A.;Finance;Bancos;stock
W1DA34;W1DA34;Technology Services;;bdr
INTU34;INTU34;Technology Services;;bdr
ENGI4;ENERGISA S.A.;Utilities;;stock
UNIP3;UNIPAR CARBOCLORO S.A.;Process Industries;Químicos Diversos;stock
BACW39;ISHARES MSCI ACWI ETF;Miscellaneous;;bdr
WHRL3;WHIRLPOOL S.A.;Consumer Durables;Eletrodomésticos;stock
BEWG39;ISHARES MSCI GERMANY ETF;Miscellaneous;;bdr
LOGN3;LOG-IN LOGISTICA INTERMODAL S.A.;Transportation;Transporte Hidroviário;stock
CGRA4;GRAZZIOTIN S.A.;Retail Trade;;stock
EQPA3;EQUATORIAL PARA DISTRIBUIDORA DE ENERGIA S.A.;Utilities;Energia Elétrica;stock
UNHH34;UNHH34;Health Services;;bdr
DOHL4;DOHLER S.A.;Process Industries;;stock
BOAC34;BOAC34;Finance;;bdr
S1KM34;S1KM34;Communications;;bdr
EMAE4;EMAE - EMPRESA METROP.AGUAS ENERGIA S.A.;Utilities;;stock
CTGP34;CTGP34;Finance;;bdr
BLAK34;BLAK34;Finance;;bdr
CHCM34;CHCM34;Consumer Services;;bdr
UCAS3;UNICASA INDÚSTRIA DE MÓVEIS S.A.;Consumer Durables;Móveis;stock
SNSY5;SANSUY S.A. INDUSTRIA DE PLASTICOS;Producer Manufacturing;;stock
GSGI34;GSGI34;Finance;;bdr
CHVX34;CHVX34;Energy Minerals;;bdr
CMCS34;CMCS34;Consumer Services;;bdr
E1CO34;E1CO34;Energy Minerals;;bdr
T1OW34;T1OW34;Finance;;bdr
BRZP11;BRZP11;;;fund
P1DD34;P1DD34;Retail Trade;;bdr
FHER3;FERTILIZANTES HERINGER S.A.;Process Industries;Fertilizantes e Defensivos;stock
CEDO4;CIA FIACAO TECIDOS CEDRO CACHOEIRA;Process Industries;;stock
BEWJ39;ISHARES MSCI JAPAN ETF;Miscellaneous;;bdr
TMCO34;TMCO34;Consumer Durables;;bdr
RPAD6;ALFA HOLDINGS S.A.;Finance;;stock
ENGI3;ENERGISA S.A.;Utilities;Energia Elétrica;stock
MRCK34;MRCK34;Health Technology;;bdr
PPEI11;PPEI11;;;fund
MOSC34;MOSC34;Process Industries;;bdr
COCE5;CIA ENERGETICA DO CEARA - COELCE;Utilities;;stock
W1IX34;W1IX34;Technology Services;;bdr
B1AM34;B1AM34;Finance;;bdr
BIDU34;BIDU34;Technology Services;;bdr
CSCO34;CSCO34;Electronic Technology;;bdr
CEBR3;CIA ENERGETICA DE BRASILIA;Utilities;Energia Elétrica;stock
CTKA4;KARSTEN S.A.;Process Industries;;stock
BIJH39;ISHARES CORE S&P MID-CAP ETF;Miscellaneous;;bdr
M1DB34;M1DB34;Technology Services;;bdr
BIEM39;ISHARES CORE MSCI EMERGING MARKETS ETF;Miscellaneous;;bdr
CLSC4;CENTRAIS ELET DE SANTA CATARINA S.A.;Utilities;;stock
BIYW39;ISHARES US TECHNOLOGY ETF;Miscellaneous;;bdr
NEXT34;NEXT34;Utilities;;bdr
CTAX3;CTAX3;Commercial Services;;stock
VIGT11;VIGT11;;;fund
W1DC34;W1DC34;Electronic Technology;;bdr
REDE3;REDE ENERGIA PARTICIPAÇÕES S.A.;Utilities;Energia Elétrica;stock
SNEC34;SNEC34;Electronic Technology;;bdr
B1TI34;B1TI34;Consumer Non-Durables;;bdr
A1NE34;A1NE34;Electronic Technology;;bdr
BIVB39;ISHARES CORE S&P 500 ETF;Miscellaneous;;bdr
COWC34;COWC34;Retail Trade;;bdr
H1SB34;H1SB34;Finance;;bdr
G1FI34;G1FI34;Non-Energy Minerals;;bdr
B1IL34;B1IL34;Technology Services;;bdr
ENMT3;ENERGISA MATO GROSSO-DISTRIBUIDORA DE ENERGIA S/A;Utilities;Energia Elétrica;stock
VIVR3;VIVER INCORPORADORA E CONSTRUTORA S.A.;Consumer Durables;Incorporações;stock
PHGN34;PHGN34;Health Services;;bdr
I1VZ34;I1VZ34;Finance;;bdr
LBRD34;LBRD34;Communications;;bdr
BIEU39;ISHARES CORE MSCI EUROPE ETF;Miscellaneous;;bdr
RSUL4;METALURGICA RIOSULENSE S.A.;Producer Manufacturing;;stock
MNPR3;MINUPAR PARTICIPACOES S.A.;Process Industries;Carnes e Derivados;stock
CEBR5;CIA ENERGETICA DE BRASILIA;Utilities;;stock
CRPG6;TRONOX PIGMENTOS DO BRASIL S.A.;Process Industries;;stock
PEPB34;PEPB34;Consumer Non-Durables;;bdr
A1DI34;A1DI34;Electronic Technology;;bdr
N1EM34;N1EM34;Non-Energy Minerals;;bdr
BIAU39;ISHARES GOLD TRUST;Miscellaneous;;bdr
BAAX39;ISHARES MSCI ALL COUNTRY ASIA EX JAPAN ETF;Miscellaneous;;bdr
SMAC11;SMAC11;Miscellaneous;;fund
BEES4;BANESTES S.A. - BCO EST ESPIRITO SANTO;Finance;;stock
BGIP4;BCO ESTADO DE SERGIPE S.A. - BANESE;Finance;;stock
CALI3;CONSTRUTORA ADOLPHO LINDENBERG S.A.;Industrial Services;Incorporações;stock
BPAC5;BCO BTG PACTUAL S.A.;Finance;;stock
PGCO34;PGCO34;Consumer Non-Durables;;bdr
RIOT34;RIOT34;Non-Energy Minerals;;bdr
CEBR6;CIA ENERGETICA DE BRASILIA;Utilities;;stock
NUTR3;NUTRIPLANT INDUSTRIA E COMERCIO S.A.;Process Industries;Fertilizantes e Defensivos;stock
RIGG34;RIGG34;Industrial Services;;bdr
KHCB34;KHCB34;Consumer Non-Durables;;bdr
EQIX34;EQIX34;Finance;;bdr
ENMT4;ENERGISA MATO GROSSO-DISTRIBUIDORA DE ENERGIA S/A;Utilities;;stock
L1MN34;L1MN34;Communications;;bdr
D1OC34;D1OC34;Technology Services;;bdr
CRPG5;TRONOX PIGMENTOS DO BRASIL S.A.;Process Industries;;stock
TXSA34;TXSA34;Non-Energy Minerals;;bdr
WFCO34;WFCO34;Finance;;bdr
MSBR34;MSBR34;Finance;;bdr
RPAD5;ALFA HOLDINGS S.A.;Finance;;stock
BOBR4;BOMBRIL S.A.;Consumer Non-Durables;;stock
T1TW34;T1TW34;Technology Services;;bdr
CATP34;CATP34;Producer Manufacturing;;bdr
B1SX34;B1SX34;Health Technology;;bdr
G1LW34;G1LW34;Electronic Technology;;bdr
ABUD34;ABUD34;Consumer Non-Durables;;bdr
PSVM11;PORTO SUDESTE V.M. S.A.;Transportation;Serviços de Apoio e Armazenagem;fund
BAZA3;BCO AMAZONIA S.A.;Finance;Bancos;stock
