date,ibc_br,selic,usd_brl,usd_brl_volatility,selic_change,usd_brl_return,ipca_12m,ipca_month,unemployment,pib_index,ibovespa,ifnc,icon,iee,ibovespa_return_1m,ibovespa_return_3m,ibovespa_volatility_3m_ann,ibovespa_drawdown,ifnc_return_1m,ifnc_return_3m,ifnc_volatility_3m_ann,ifnc_drawdown,icon_return_1m,icon_return_3m,icon_volatility_3m_ann,icon_drawdown,iee_return_1m,iee_return_3m,iee_volatility_3m_ann,iee_drawdown,ibc_br_change,pib_change_3m,unemployment_change
2018-01-31,95.03448,7.0,3.1624,0.030036977297252757,0.0,-0.04401451027811365,2.95,0.44,11.9,166.1,84912.7,9567.17,3811.04,40582.98,0.11139251706236264,0.14270522789522433,0.25116509709745793,0.0,0.19278606034764367,0.19606220363075377,0.4072478484679011,0.0,0.01360412139716849,0.04452404901619533,0.17893468956391817,0.0,0.021409517136296907,0.014313314321562132,0.09819179884566415,-0.017498999534931947,0.0019519376729453253,0.0021720767467117152,-0.1999999999999993
2018-02-28,96.30407,6.75,3.2449,0.026974499144253046,-0.25,0.026087781431823887,2.86,0.29,12.3,166.1,85353.6,9514.03,3674.68,41965.88,0.005192391715255873,0.18594450347285751,0.18406061343408966,0.0,-0.0055544115971598584,0.23795489559261362,0.35776675492260707,-0.0055544115971598584,-0.03578025945673624,0.043872008726677736,0.17995931615361047,-0.03578025945673624,0.0340758613586285,0.07877252065536777,0.025385356888863307,0.0,0.01335925655614667,0.0021720767467117152,0.40000000000000036
2018-03-31,95.81267,6.5,3.3238,0.01923944501421298,-0.25,0.024315079047120047,2.84,0.32,12.7,167.0,85365.56,9678.91,3651.14,41445.06,0.00014012297079424307,0.1173198426011437,0.2176285240234518,0.0,0.017330195511260582,0.2067172348102324,0.37589202853818915,0.0,-0.0064059999782294375,-0.028923718513041652,0.08604730268512,-0.041957051093664766,-0.012410558291640728,0.04310670932210603,0.08324927615073723,-0.012410558291640728,-0.005102588083764292,0.005418422636965792,0.3999999999999986
2018-04-30,95.43756,6.5,3.4811,0.03339847014533264,0.0,0.047325350502437136,2.68,0.09,13.2,167.0,86115.5,9279.86,3611.64,43820.67,0.008785041649114644,0.014165136663891298,0.015044412382560803,0.0,-0.0412288160547003,-0.030030824162213032,0.10223038894075895,-0.0412288160547003,-0.010818538867312655,-0.05232167597296278,0.05487085044252164,-0.05232167597296278,0.057319497184948,0.07977950362442576,0.12299214979091612,0.0,-0.00391503545407923,0.005418422636965792,0.5
2018-05-31,95.46274,6.5,3.737,0.04220100812030791,0.0,0.0735112464450891,2.76,0.22,13.0,167.0,76753.61,7931.81,3222.06,40116.27,-0.10871318171525446,-0.10075720297679303,0.22684624331829553,-0.10871318171525446,-0.14526620013664004,-0.1663038691280141,0.2852736335516627,-0.18050586274694147,-0.10786789381001427,-0.12317262999771406,0.1986583181957129,-0.15454574079516348,-0.08453544868209462,-0.04407413832380025,0.2457116444841174,-0.08453544868209462,0.0002638374241754615,0.005418422636965792,-0.1999999999999993
2018-06-30,96.00704,6.5,3.8558,0.056854301811798125,0.0,0.03179020604763183,2.86,0.4,12.8,168.04,72762.52,7399.54,3075.33,38562.41,-0.05199872683512863,-0.14763611929682174,0.2035535722962339,-0.15505896151099385,-0.06710574257325885,-0.23549862536174015,0.18762968709229996,-0.23549862536174015,-0.045539189214353515,-0.15770690797942555,0.17034651902454082,-0.19304704227717373,-0.03873391020650707,-0.0695535245937633,0.25078621838203574,-0.11999497041008267,0.005701700998735237,0.006227544910179628,-0.1999999999999993
2018-07-31,93.05679,6.5,3.7549,0.04134271190675183,0.0,-0.026168369728720275,4.39,1.26,12.6,168.04,79220.44,8276.01,3277.41,40684.0,0.08875338567163427,-0.08006758365218802,0.3521952066767147,-0.08006758365218802,0.11844925495368641,-0.10817512333160206,0.46922394544021273,-0.14494400712476918,0.06571002136356086,-0.09254244609097251,0.30459989135515836,-0.1400221461858181,0.05501704898630555,-0.07157969058893898,0.24642208862759,-0.07157969058893898,-0.030729517335395418,0.006227544910179628,-0.20000000000000107
2018-08-31,95.75667,6.5,4.1353,0.04131541556829647,0.0,0.10130762470372034,4.48,0.33,12.4,168.04,76677.53,7884.38,3114.02,39715.86,-0.03209916531642598,-0.0009912237352744935,0.26386545360874636,-0.10959664636447564,-0.047321112468447946,-0.00597971963524091,0.3529926441468104,-0.18540620793043838,-0.04985339032955893,-0.03353134330211105,0.22693567946722298,-0.18289495780679288,-0.02379657850752137,-0.009981237039236146,0.17449328988011878,-0.09367291736981653,0.029013250940635116,0.006227544910179628,-0.1999999999999993
2018-09-30,96.06905,6.5,4.0039,0.0424771215854132,0.0,-0.03177520373370735,4.19,-0.09,12.2,167.83,79342.43,8090.79,3129.76,39350.87,0.034754640635920264,0.09042993563169599,0.20971711859582512,-0.07865099778785478,0.026179610825454835,0.09341796922511403,0.287735497523496,-0.1640804594732258,0.005054559700965466,0.01769891361252296,0.2002442015550545,-0.17876485158906752,-0.00919003138796437,0.02044633621187053,0.14524109795563675,-0.10200209170695007,0.0032622270594833136,-0.001249702451797119,-0.20000000000000107
2018-10-31,96.80783,6.5,3.7177,0.049839222963611554,0.0,-0.07148030670096661,4.53,0.48,12.0,167.83,87423.55,9430.18,3271.7,45595.48,0.10185117849302072,0.10354789748706272,0.23200892814455323,0.0,0.1655450209435667,0.13945971549091896,0.3745318801274415,-0.02569814162958428,0.045351720259700246,-0.001742229382347693,0.16554610963694735,-0.14152042487090144,0.1586905194218069,0.1207226428079835,0.35127986412436507,0.0,0.0076900937398671765,-0.001249702451797119,-0.1999999999999993
