date,ibc_br_change,selic,selic_change,usd_brl_return,usd_brl_volatility,ipca_12m,pib_change_3m,unemployment,unemployment_change,target_stress,split
2022-02-28,0.0031764828811258,10.75,1.5,-0.0406913801470862,0.0351556162531298,10.38,0.0015121554030474,11.2,0.0999999999999996,1,test
2022-03-31,-0.0196241048011731,11.75,1.0,-0.0781414172860646,0.0389353701671577,10.54,0.0133565621370499,11.2,0.0,1,test
2022-04-30,0.0109351914782536,11.75,0.0,0.0382667060661066,0.0605900064041305,11.3,0.0133565621370499,11.1,-0.0999999999999996,0,test
2022-05-31,0.0107677609314187,12.75,1.0,-0.0386656095627249,0.0441063931604191,12.13,0.0133565621370499,10.5,-0.5999999999999996,1,test
2022-06-30,-0.0009649066320981,13.25,0.5,0.1076571718581489,0.0366875090447936,11.73,0.0068767908309455,9.8,-0.6999999999999993,0,test
2022-07-31,0.0020637069337052,13.25,0.0,-0.0094692630775106,0.0457678543601963,11.89,0.0068767908309455,9.3,-0.5,1,test
2022-08-31,-0.0012213442935545,13.75,0.5,-0.0018117338678589,0.0448761411385305,10.07,0.0068767908309455,9.1,-0.200000000000001,0,test
2022-09-30,0.0191070541193387,13.75,0.0,0.0439467078586599,0.0416350099049896,8.73,0.0113830392714855,8.9,-0.1999999999999993,0,test
2022-10-31,-0.0032894775758306,13.75,0.0,-0.0276698849554248,0.05764199321847,7.17,0.0113830392714855,8.7,-0.200000000000001,0,test
2022-11-30,0.0005265143444743,13.75,0.0,0.0070572569906792,0.0647575783502493,6.47,0.0113830392714855,8.3,-0.3999999999999986,0,test
2022-12-31,0.0027567398755676,13.75,0.0,-0.0144311592149752,0.0431910044632537,5.9,0.0105796285875072,8.1,-0.200000000000001,0,test
2023-01-31,-0.007094876573164,13.75,0.0,-0.022691990723882,0.0498414863048305,5.79,0.0105796285875072,7.9,-0.1999999999999993,1,test
2023-02-28,-0.0012475263451071,13.75,0.0,0.0212774302355223,0.0465212626225843,5.77,0.0105796285875072,8.4,0.5,0,test
2023-03-31,-0.0047351680150033,13.75,0.0,-0.0244633050424363,0.0290003723651259,5.6,0.0042877826038534,8.6,0.1999999999999993,0,test
2023-04-30,0.029708208132765,13.75,0.0,-0.0156877411227461,0.0335180071689941,4.65,0.0042877826038534,8.8,0.200000000000001,0,test
2023-05-31,1.765560016253609e-05,13.75,0.0,0.0190373347731318,0.0280795050058731,4.18,0.0042877826038534,8.5,-0.3000000000000007,0,test
2023-06-30,0.0084861793043931,13.75,0.0,-0.0542985537392806,0.0286283129442348,3.94,0.013418353202107,8.3,-0.1999999999999993,0,test
2023-07-31,-0.0149614188371958,13.75,0.0,-0.0161230079681274,0.0283103086426573,3.16,0.013418353202107,8.0,-0.3000000000000007,0,test
2023-08-31,0.0003430507612594,13.25,-0.5,0.0380470315301064,0.0321047183507088,3.99,0.013418353202107,7.9,-0.0999999999999996,0,test
2023-09-30,0.0044821446351905,12.75,-0.5,0.0174119750502854,0.0313910377129077,4.61,0.00776932757017,7.8,-0.1000000000000005,0,test
2023-10-31,-0.0039940154880102,12.75,0.0,0.0099648534227974,0.034035800830647,5.19,0.00776932757017,7.7,-0.0999999999999996,0,test
2023-11-30,0.0001395285710117,12.25,-0.5,-0.0241225902125555,0.0339525835700353,4.82,0.00776932757017,7.6,-0.1000000000000005,0,test
2023-12-31,0.0032009047214272,11.75,-0.5,-0.0190862121365615,0.0293425354172386,4.68,0.0013030023345459,7.5,-0.0999999999999996,0,test
2024-01-31,0.007367667742516,11.75,0.0,0.0231755933323694,0.0232838829447305,4.62,0.0013030023345459,7.4,-0.0999999999999996,0,test
2024-02-29,0.0124978774083752,11.25,-0.5,0.00601594831937,0.0215863478482254,4.51,0.0013030023345459,7.6,0.1999999999999993,0,test
2024-03-31,-0.0038779542311204,10.75,-0.5,0.0025886460779001,0.0152170328896865,4.5,0.0038496990728187,7.8,0.2000000000000001,0,test
2024-04-30,0.0018857939377208,10.75,0.0,0.0351467115007406,0.035071562983549,3.93,0.0038496990728187,7.9,0.1000000000000005,0,test
2024-05-31,0.0001421571254682,10.5,-0.25,0.0134962682238291,0.027103239171696,3.69,0.0038496990728187,7.5,-0.4000000000000003,0,test
2024-06-30,-0.0001212175746569,10.5,0.0,0.0605349511599513,0.0309375069042834,3.93,0.0068056605811819,7.1,-0.4000000000000003,0,test
2024-07-31,0.0083783058244033,10.5,0.0,0.0185648239759663,0.0357182782359372,4.23,0.0068056605811819,6.9,-0.1999999999999993,0,test
2024-08-31,0.010475300823006,10.5,0.0,-0.0010420162130657,0.0426185619032555,4.5,0.0068056605811819,6.8,-0.1000000000000005,0,test
2024-09-30,0.0033840941200824,10.75,0.25,-0.036791485449595,0.0331448053306673,4.24,0.0167381974248927,6.6,-0.2000000000000001,0,test
2024-10-31,0.0013851780898539,10.75,0.0,0.0605348653659072,0.0229522634055656,4.42,0.0167381974248927,6.4,-0.1999999999999993,0,test
2024-11-30,0.0079985465670999,11.25,0.5,0.0476989909828831,0.0433790049551157,4.76,0.0167381974248927,6.2,-0.2000000000000001,0,test
2024-12-31,0.0019308645335325,12.25,1.0,0.0229288841166268,0.0414428485600689,4.87,0.0090227944280285,6.1,-0.1000000000000005,0,test
2025-01-31,-0.0021928671668912,13.25,1.0,-0.0584919981267058,0.0279785719705299,4.83,0.0090227944280285,6.2,0.1000000000000005,0,test
2025-02-28,-0.0057705240936672,13.25,0.0,0.0032074921527931,0.0246424457020829,4.56,0.0090227944280285,6.5,0.2999999999999998,0,test
